naics_code,kind_of_business,sales_month,sales
45291,Warehouse clubs and superstores,9/1/24,53107
45291,Warehouse clubs and superstores,10/1/24,56508
45291,Warehouse clubs and superstores,11/1/24,59231
45291,Warehouse clubs and superstores,12/1/24,65744
45299,All other gen. merchandise stores,1/1/24,7949
45299,All other gen. merchandise stores,2/1/24,8165
45299,All other gen. merchandise stores,3/1/24,9134
45299,All other gen. merchandise stores,4/1/24,8824
45299,All other gen. merchandise stores,5/1/24,9745
45299,All other gen. merchandise stores,6/1/24,9032
45299,All other gen. merchandise stores,7/1/24,8701
45299,All other gen. merchandise stores,8/1/24,9052
45299,All other gen. merchandise stores,9/1/24,8606
45299,All other gen. merchandise stores,10/1/24,9320
45299,All other gen. merchandise stores,11/1/24,10150
45299,All other gen. merchandise stores,12/1/24,11418
453,Miscellaneous store retailers,1/1/24,13030
453,Miscellaneous store retailers,2/1/24,13391
453,Miscellaneous store retailers,3/1/24,14938
453,Miscellaneous store retailers,4/1/24,15387
453,Miscellaneous store retailers,5/1/24,16610
453,Miscellaneous store retailers,6/1/24,15739
453,Miscellaneous store retailers,7/1/24,15482
453,Miscellaneous store retailers,8/1/24,15760
453,Miscellaneous store retailers,9/1/24,15349
453,Miscellaneous store retailers,10/1/24,16673
453,Miscellaneous store retailers,11/1/24,14535
453,Miscellaneous store retailers,12/1/24,16443
4532,"Office supplies, stationery, and gift stores",1/1/24,1893
4532,"Office supplies, stationery, and gift stores",2/1/24,1914
4532,"Office supplies, stationery, and gift stores",3/1/24,2100
4532,"Office supplies, stationery, and gift stores",4/1/24,2127
4532,"Office supplies, stationery, and gift stores",5/1/24,2447
4532,"Office supplies, stationery, and gift stores",6/1/24,2652
4532,"Office supplies, stationery, and gift stores",7/1/24,2605
4532,"Office supplies, stationery, and gift stores",8/1/24,2893
4532,"Office supplies, stationery, and gift stores",9/1/24,2583
4532,"Office supplies, stationery, and gift stores",10/1/24,3118
4532,"Office supplies, stationery, and gift stores",11/1/24,2192
4532,"Office supplies, stationery, and gift stores",12/1/24,3029
45321,Office supplies and stationery stores,1/1/24,733
45321,Office supplies and stationery stores,2/1/24,660
45321,Office supplies and stationery stores,3/1/24,661
45321,Office supplies and stationery stores,4/1/24,649
45321,Office supplies and stationery stores,5/1/24,644
45321,Office supplies and stationery stores,6/1/24,596
45321,Office supplies and stationery stores,7/1/24,697
45321,Office supplies and stationery stores,8/1/24,874
45321,Office supplies and stationery stores,9/1/24,651
45321,Office supplies and stationery stores,10/1/24,629
45321,Office supplies and stationery stores,11/1/24,574
45321,Office supplies and stationery stores,12/1/24,635
45322,"Gift, novelty, and souvenir stores",1/1/24,1160
45322,"Gift, novelty, and souvenir stores",2/1/24,1254
45322,"Gift, novelty, and souvenir stores",3/1/24,1439
45322,"Gift, novelty, and souvenir stores",4/1/24,1478
45322,"Gift, novelty, and souvenir stores",5/1/24,1803
45322,"Gift, novelty, and souvenir stores",6/1/24,2056
45322,"Gift, novelty, and souvenir stores",7/1/24,1908
45322,"Gift, novelty, and souvenir stores",8/1/24,2019
45322,"Gift, novelty, and souvenir stores",9/1/24,1932
45322,"Gift, novelty, and souvenir stores",10/1/24,2489
45322,"Gift, novelty, and souvenir stores",11/1/24,1618
45322,"Gift, novelty, and souvenir stores",12/1/24,2394
45330,Used merchandise stores,1/1/24,1903
45330,Used merchandise stores,2/1/24,1931
45330,Used merchandise stores,3/1/24,2190
45330,Used merchandise stores,4/1/24,2038
45330,Used merchandise stores,5/1/24,2220
45330,Used merchandise stores,6/1/24,2023
45330,Used merchandise stores,7/1/24,2063
45330,Used merchandise stores,8/1/24,2092
45330,Used merchandise stores,9/1/24,2179
45330,Used merchandise stores,10/1/24,2215
45330,Used merchandise stores,11/1/24,2089
45330,Used merchandise stores,12/1/24,2160
454,Nonstore retailers,1/1/24,116402
454,Nonstore retailers,2/1/24,109322
454,Nonstore retailers,3/1/24,115867
454,Nonstore retailers,4/1/24,117532
454,Nonstore retailers,5/1/24,120648
454,Nonstore retailers,6/1/24,113832
454,Nonstore retailers,7/1/24,121988
454,Nonstore retailers,8/1/24,117035
454,Nonstore retailers,9/1/24,114639
454,Nonstore retailers,10/1/24,126885
454,Nonstore retailers,11/1/24,137992
454,Nonstore retailers,12/1/24,158010
4541,Electronic shopping and mail-order houses,1/1/24,105499
4541,Electronic shopping and mail-order houses,2/1/24,98984
4541,Electronic shopping and mail-order houses,3/1/24,106154
4541,Electronic shopping and mail-order houses,4/1/24,108547
4541,Electronic shopping and mail-order houses,5/1/24,112078
4541,Electronic shopping and mail-order houses,6/1/24,106244
4541,Electronic shopping and mail-order houses,7/1/24,113927
4541,Electronic shopping and mail-order houses,8/1/24,109273
4541,Electronic shopping and mail-order houses,9/1/24,106776
4541,Electronic shopping and mail-order houses,10/1/24,117553
4541,Electronic shopping and mail-order houses,11/1/24,129707
4541,Electronic shopping and mail-order houses,12/1/24,148098
45431,Fuel dealers,1/1/24,5165
45431,Fuel dealers,2/1/24,4596
45431,Fuel dealers,3/1/24,3563
45431,Fuel dealers,4/1/24,3082
45431,Fuel dealers,5/1/24,2297
45431,Fuel dealers,6/1/24,1829
45431,Fuel dealers,7/1/24,2025
45431,Fuel dealers,8/1/24,2100
45431,Fuel dealers,9/1/24,2202
45431,Fuel dealers,10/1/24,3066
45431,Fuel dealers,11/1/24,2942
45431,Fuel dealers,12/1/24,4616
722,Food services and drinking places,1/1/24,84901
722,Food services and drinking places,2/1/24,89297
722,Food services and drinking places,3/1/24,98175
722,Food services and drinking places,4/1/24,94883
722,Food services and drinking places,5/1/24,100711
722,Food services and drinking places,6/1/24,97195
722,Food services and drinking places,7/1/24,96789
722,Food services and drinking places,8/1/24,99896
722,Food services and drinking places,9/1/24,93781
722,Food services and drinking places,10/1/24,97707
722,Food services and drinking places,11/1/24,94512
722,Food services and drinking places,12/1/24,97462
7224,Drinking places,1/1/24,
7224,Drinking places,2/1/24,
7224,Drinking places,3/1/24,
7224,Drinking places,4/1/24,
7224,Drinking places,5/1/24,
7224,Drinking places,6/1/24,
7224,Drinking places,7/1/24,
7224,Drinking places,8/1/24,
7224,Drinking places,9/1/24,
7224,Drinking places,10/1/24,
7224,Drinking places,11/1/24,
7224,Drinking places,12/1/24,
7225,Restaurants and other eating places,1/1/24,75848
7225,Restaurants and other eating places,2/1/24,79515
7225,Restaurants and other eating places,3/1/24,87407
7225,Restaurants and other eating places,4/1/24,83956
7225,Restaurants and other eating places,5/1/24,89624
7225,Restaurants and other eating places,6/1/24,87201
7225,Restaurants and other eating places,7/1/24,87472
7225,Restaurants and other eating places,8/1/24,89063
7225,Restaurants and other eating places,9/1/24,82318
7225,Restaurants and other eating places,10/1/24,85793
7225,Restaurants and other eating places,11/1/24,83506
7225,Restaurants and other eating places,12/1/24,86965
722511,Full service restaurants,1/1/24,
722511,Full service restaurants,2/1/24,
722511,Full service restaurants,3/1/24,
722511,Full service restaurants,4/1/24,
722511,Full service restaurants,5/1/24,
722511,Full service restaurants,6/1/24,
722511,Full service restaurants,7/1/24,
722511,Full service restaurants,8/1/24,
722511,Full service restaurants,9/1/24,
722511,Full service restaurants,10/1/24,
722511,Full service restaurants,11/1/24,
722511,Full service restaurants,12/1/24,
"722513, 722514, 722515",Limited service eating places,1/1/24,38763
"722513, 722514, 722515",Limited service eating places,2/1/24,39745
"722513, 722514, 722515",Limited service eating places,3/1/24,43992
"722513, 722514, 722515",Limited service eating places,4/1/24,43230
"722513, 722514, 722515",Limited service eating places,5/1/24,45620
"722513, 722514, 722515",Limited service eating places,6/1/24,44465
"722513, 722514, 722515",Limited service eating places,7/1/24,45004
"722513, 722514, 722515",Limited service eating places,8/1/24,45196
"722513, 722514, 722515",Limited service eating places,9/1/24,41668
"722513, 722514, 722515",Limited service eating places,10/1/24,43775
"722513, 722514, 722515",Limited service eating places,11/1/24,41371
"722513, 722514, 722515",Limited service eating places,12/1/24,42046
,,2/1/24,
,,3/1/24,
,,4/1/24,
,,5/1/24,
,,6/1/24,
,,7/1/24,
,,8/1/24,
,,9/1/24,
,,10/1/24,
,,11/1/24,
,,12/1/24,
,"Retail and food services sales, total",1/1/23,627609
,"Retail and food services sales, total",2/1/23,606884
,"Retail and food services sales, total",3/1/23,692701
,"Retail and food services sales, total",4/1/23,674516
,"Retail and food services sales, total",5/1/23,722019
,"Retail and food services sales, total",6/1/23,702231
,"Retail and food services sales, total",7/1/23,696200
,"Retail and food services sales, total",8/1/23,718533
,"Retail and food services sales, total",9/1/23,681679
,"Retail and food services sales, total",10/1/23,697816
,"Retail and food services sales, total",11/1/23,708181
,"Retail and food services sales, total",12/1/23,765846
,Retail sales and food services excl motor vehicle and parts,1/1/23,510266
,Retail sales and food services excl motor vehicle and parts,2/1/23,488678
,Retail sales and food services excl motor vehicle and parts,3/1/23,551718
,Retail sales and food services excl motor vehicle and parts,4/1/23,541636
,Retail sales and food services excl motor vehicle and parts,5/1/23,579809
,Retail sales and food services excl motor vehicle and parts,6/1/23,563062
,Retail sales and food services excl motor vehicle and parts,7/1/23,561498
,Retail sales and food services excl motor vehicle and parts,8/1/23,577027
,Retail sales and food services excl motor vehicle and parts,9/1/23,548817
,Retail sales and food services excl motor vehicle and parts,10/1/23,568837
,Retail sales and food services excl motor vehicle and parts,11/1/23,584282
,Retail sales and food services excl motor vehicle and parts,12/1/23,635671
,Retail sales and food services excl gasoline stations,1/1/23,577644
,Retail sales and food services excl gasoline stations,2/1/23,559494
,Retail sales and food services excl gasoline stations,3/1/23,638387
,Retail sales and food services excl gasoline stations,4/1/23,621170
,Retail sales and food services excl gasoline stations,5/1/23,665570
,Retail sales and food services excl gasoline stations,6/1/23,646294
,Retail sales and food services excl gasoline stations,7/1/23,639648
,Retail sales and food services excl gasoline stations,8/1/23,658027
,Retail sales and food services excl gasoline stations,9/1/23,623885
,Retail sales and food services excl gasoline stations,10/1/23,640048
,Retail sales and food services excl gasoline stations,11/1/23,656750
,Retail sales and food services excl gasoline stations,12/1/23,717154
,Retail sales and food services excl motor vehicle and parts and gasoline stations,1/1/23,460301
,Retail sales and food services excl motor vehicle and parts and gasoline stations,2/1/23,441288
,Retail sales and food services excl motor vehicle and parts and gasoline stations,3/1/23,497404
,Retail sales and food services excl motor vehicle and parts and gasoline stations,4/1/23,488290
,Retail sales and food services excl motor vehicle and parts and gasoline stations,5/1/23,523360
,Retail sales and food services excl motor vehicle and parts and gasoline stations,6/1/23,507125
,Retail sales and food services excl motor vehicle and parts and gasoline stations,7/1/23,504946
,Retail sales and food services excl motor vehicle and parts and gasoline stations,8/1/23,516521
,Retail sales and food services excl motor vehicle and parts and gasoline stations,9/1/23,491023
,Retail sales and food services excl motor vehicle and parts and gasoline stations,10/1/23,511069
,Retail sales and food services excl motor vehicle and parts and gasoline stations,11/1/23,532851
,Retail sales and food services excl motor vehicle and parts and gasoline stations,12/1/23,586979
,"Retail sales, total",1/1/23,545318
,"Retail sales, total",2/1/23,526218
,"Retail sales, total",3/1/23,600348
,"Retail sales, total",4/1/23,584626
,"Retail sales, total",5/1/23,627266
,"Retail sales, total",6/1/23,608430
,"Retail sales, total",7/1/23,601631
,"Retail sales, total",8/1/23,624457
,"Retail sales, total",9/1/23,589258
,"Retail sales, total",10/1/23,604435
,"Retail sales, total",11/1/23,619189
,"Retail sales, total",12/1/23,668957
,"Retail sales, total (excl. motor vehicle and parts dealers)",1/1/23,427975
,"Retail sales, total (excl. motor vehicle and parts dealers)",2/1/23,408012
,"Retail sales, total (excl. motor vehicle and parts dealers)",3/1/23,459365
,"Retail sales, total (excl. motor vehicle and parts dealers)",4/1/23,451746
,"Retail sales, total (excl. motor vehicle and parts dealers)",5/1/23,485056
,"Retail sales, total (excl. motor vehicle and parts dealers)",6/1/23,469261
,"Retail sales, total (excl. motor vehicle and parts dealers)",7/1/23,466929
,"Retail sales, total (excl. motor vehicle and parts dealers)",8/1/23,482951
,"Retail sales, total (excl. motor vehicle and parts dealers)",9/1/23,456396
,"Retail sales, total (excl. motor vehicle and parts dealers)",10/1/23,475456
,"Retail sales, total (excl. motor vehicle and parts dealers)",11/1/23,495290
,"Retail sales, total (excl. motor vehicle and parts dealers)",12/1/23,538782
,GAFO(1),1/1/23,113705
,GAFO(1),2/1/23,111422
,GAFO(1),3/1/23,124263
,GAFO(1),4/1/23,124133
,GAFO(1),5/1/23,130729
,GAFO(1),6/1/23,127859
,GAFO(1),7/1/23,128320
,GAFO(1),8/1/23,133614
,GAFO(1),9/1/23,123919
,GAFO(1),10/1/23,127192
,GAFO(1),11/1/23,138894
,GAFO(1),12/1/23,169911
441,Motor vehicle and parts dealers,1/1/23,117343
441,Motor vehicle and parts dealers,2/1/23,118206
441,Motor vehicle and parts dealers,3/1/23,140983
441,Motor vehicle and parts dealers,4/1/23,132880
441,Motor vehicle and parts dealers,5/1/23,142210
441,Motor vehicle and parts dealers,6/1/23,139169
441,Motor vehicle and parts dealers,7/1/23,134702
441,Motor vehicle and parts dealers,8/1/23,141506
441,Motor vehicle and parts dealers,9/1/23,132862
441,Motor vehicle and parts dealers,10/1/23,128979
441,Motor vehicle and parts dealers,11/1/23,123899
441,Motor vehicle and parts dealers,12/1/23,130175
